entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-16T01:00:00+00:00,2026-04-16T13:00:00+00:00,1776301200000,1776344400000,LONG,6,k7_b6,2360.39,2339.27,0.01,-0.2370481299999989,-0.010042752680701025,0.025848130000000004,max_hold,,,
2026-04-16T02:00:00+00:00,2026-04-16T13:00:00+00:00,1776304800000,1776344400000,LONG,6,k7_b6,2352.04,2305.0,0.01,-0.49601371999999966,-0.021088660056801743,0.02561372,stop,,,
2026-04-16T03:00:00+00:00,2026-04-16T13:00:00+00:00,1776308400000,1776344400000,LONG,6,k7_b6,2356.67,2309.54,0.01,-0.49696415500000113,-0.021087558079833032,0.025664155,stop,,,
2026-04-16T16:00:00+00:00,2026-04-16T16:00:00+00:00,1776355200000,1776355200000,SHORT,1,k7_b1,2336.42,2313.06,0.01,0.20802786000000129,0.00890370138930506,0.02557214,target_entry_bar,,,
2026-04-16T17:00:00+00:00,2026-04-16T18:00:00+00:00,1776358800000,1776362400000,LONG,1,k7_b1,2316.5,2339.67,0.01,0.20609106500000074,0.008896657241528199,0.025608935000000003,target,,,
2026-04-16T18:00:00+00:00,2026-04-16T19:00:00+00:00,1776362400000,1776366000000,LONG,2,k7_b2,2325.69,2348.95,0.01,0.20688947999999763,0.008895832204635941,0.02571052,target,,,
2026-04-17T02:00:00+00:00,2026-04-17T08:00:00+00:00,1776391200000,1776412800000,LONG,1,k7_b1,2335.17,2333.23,0.01,-0.04507620000000055,-0.001930317707062036,0.025676200000000003,max_hold,,,
2026-04-17T05:00:00+00:00,2026-04-17T08:00:00+00:00,1776402000000,1776412800000,LONG,2,k7_b2,2328.97,2352.26,0.01,0.20715323500000418,0.008894628741460997,0.025746765000000005,target,,,
2026-04-17T06:00:00+00:00,2026-04-17T12:00:00+00:00,1776405600000,1776427200000,LONG,3,k7_b3,2319.42,2380.14,0.01,0.581352419999998,0.02506456010554354,0.025847580000000002,target,,,
2026-04-17T07:00:00+00:00,2026-04-17T13:00:00+00:00,1776409200000,1776430800000,LONG,4,k7_b4,2331.13,2392.16,0.01,0.5843219049999975,0.025066036857661195,0.025978095,target,,,
2026-04-17T08:00:00+00:00,2026-04-17T13:00:00+00:00,1776412800000,1776430800000,LONG,4,k7_b4,2334.4,2395.51,0.01,0.5850854950000013,0.025063634981151526,0.026014505000000004,target,,,
2026-04-17T11:00:00+00:00,2026-04-17T13:00:00+00:00,1776423600000,1776430800000,LONG,4,k7_b4,2343.71,2405.07,0.01,0.5874817100000013,0.025066314091760553,0.026118290000000002,target,,,
2026-04-17T12:00:00+00:00,2026-04-17T13:00:00+00:00,1776427200000,1776430800000,LONG,5,k7_b5,2354.82,2416.47,0.01,0.5902579049999964,0.025065945804774732,0.026242095,target,,,
2026-04-17T13:00:00+00:00,2026-04-17T13:00:00+00:00,1776430800000,1776430800000,LONG,6,k7_b6,2371.92,2434.02,0.01,0.5945673299999991,0.02506692173429117,0.026432670000000002,target_entry_bar,,,
2026-04-18T03:00:00+00:00,2026-04-18T08:00:00+00:00,1776481200000,1776499200000,SHORT,1,k7_b1,2417.08,2392.91,0.01,0.2152450550000007,0.00890516884008807,0.026454945,target,,,
2026-04-18T04:00:00+00:00,2026-04-18T08:00:00+00:00,1776484800000,1776499200000,SHORT,2,k7_b2,2402.79,2378.76,0.01,0.21400147499999744,0.008906374464684699,0.026298525000000003,target,,,
2026-04-18T05:00:00+00:00,2026-04-18T11:00:00+00:00,1776488400000,1776510000000,SHORT,3,k7_b3,2405.06,2342.1,0.01,0.6034906200000004,0.025092539063474525,0.02610938,target,,,
2026-04-18T06:00:00+00:00,2026-04-18T11:00:00+00:00,1776492000000,1776510000000,SHORT,4,k7_b4,2406.4,2343.4,0.01,0.6038761,0.025094585272606384,0.026123900000000002,target,,,
2026-04-18T07:00:00+00:00,2026-04-18T11:00:00+00:00,1776495600000,1776510000000,SHORT,5,k7_b5,2407.15,2344.13,0.01,0.6040679599999998,0.025094736929564,0.026132040000000002,target,,,
2026-04-18T08:00:00+00:00,2026-04-18T18:00:00+00:00,1776499200000,1776535200000,SHORT,6,k7_b6,2401.17,2338.31,0.01,0.6025328600000013,0.02509330284819489,0.026067140000000003,target,,,
2026-04-18T23:00:00+00:00,2026-04-19T03:00:00+00:00,1776553200000,1776567600000,SHORT,1,k7_b1,2353.81,2330.27,0.01,0.20963755999999964,0.008906307645901735,0.025762440000000005,target,,,
2026-04-19T08:00:00+00:00,2026-04-19T13:00:00+00:00,1776585600000,1776603600000,LONG,1,k7_b1,2315.43,2338.58,0.01,0.20590294500000092,0.008892643914953202,0.025597055,target,,,
2026-04-19T09:00:00+00:00,2026-04-19T13:00:00+00:00,1776589200000,1776603600000,LONG,2,k7_b2,2318.25,2341.43,0.01,0.20617175999999837,0.008893422193464827,0.02562824,target,,,
2026-04-19T16:00:00+00:00,2026-04-19T16:00:00+00:00,1776614400000,1776614400000,SHORT,1,k7_b1,2328.29,2305.01,0.01,0.20731684999999744,0.00890425376563905,0.025483150000000003,target_entry_bar,,,
